,PC,Criterion,Max Depth,Mean CV Score,STD CV Score,Execution Time
0,None,entropy,6,0.7709914400542826,0.018060896748755943,1.1790010929107666
1,None,entropy,7,0.7684397672112324,0.021591081853286523,1.3149974346160889
2,None,entropy,5,0.766656010230179,0.01364617669990358,1.043997049331665
3,None,entropy,4,0.7584881778798476,0.017693750737734052,0.9539992809295654
4,None,entropy,8,0.755674226212224,0.014222980590967957,1.4679992198944092
5,None,entropy,9,0.7538937314056058,0.018359330335424133,1.566997766494751
6,None,entropy,10,0.7467378255650086,0.01688637968993849,1.5759997367858887
7,None,entropy,11,0.7426627172608175,0.02238563600995957,1.6050000190734863
8,None,entropy,3,0.7426568453468343,0.015571797340489574,0.8019990921020508
9,None,entropy,12,0.7380630513074795,0.01405918711507784,1.5900020599365234
10,None,entropy,2,0.7319360352836787,0.019015231078438843,0.5699989795684814
11,None,entropy,13,0.7309123649459783,0.014207985478332881,1.5520005226135254
13,None,entropy,14,0.7293843624406284,0.018365898324170085,1.4860024452209473
12,None,entropy,1,0.7035975259669084,0.010612755355333217,0.40199732780456543
